ACTIVITY DATE/TIME,CALORIES,STEPS,DISTANCE,FLOORS
2017-07-08 10:57:00,6.15670013427734,98,0.0723000019788742,0
2017-07-08 10:58:00,6.79360008239746,118,0.0869999974966049,0
2017-07-08 10:59:00,6.79360008239746,122,0.0900000035762787,0
2017-07-08 11:00:00,6.79360008239746,120,0.0885000005364418,0
2017-07-08 11:01:00,6.79360008239746,117,0.0863000005483627,1
2017-07-08 11:02:00,5.0952000617981,64,0.0472000017762184,0
2017-07-08 11:03:00,6.15670013427734,90,0.0663999989628792,0
2017-07-08 11:04:00,7.00589990615845,120,0.0885000005364418,1
2017-07-08 11:05:00,5.73210000991821,79,0.0582999996840954,1
2017-07-08 11:06:00,7.00589990615845,123,0.0907000005245209,0
2017-07-08 11:07:00,6.15670013427734,85,0.0627000033855438,0
2017-07-08 11:08:00,4.88290023803711,62,0.0456999987363815,0
2017-07-08 11:09:00,3.6091001033783,39,0.0286999996751547,0
2017-07-08 11:10:00,6.79360008239746,113,0.0833000019192696,0
2017-07-08 11:11:00,6.36899995803833,93,0.0685999989509583,0
2017-07-08 11:12:00,7.96124982833862,128,0.0944000035524368,1
2017-07-08 11:13:00,7.21820020675659,124,0.166899994015694,0
2017-07-08 11:14:00,6.79360008239746,120,0.0885000005364418,0
2017-07-08 11:15:00,5.73210000991821,94,0.069300003349781,1
2017-07-08 11:16:00,3.39680004119873,28,0.0206000003963709,0
2017-07-08 11:17:00,6.58129978179932,125,0.0922000035643578,0
2017-07-08 11:18:00,7.53665018081665,125,0.0922000035643578,0
2017-07-08 11:19:00,6.15670013427734,74,0.0996000021696091,0
2017-07-08 11:20:00,5.9443998336792,88,0.0649000033736229,0
2017-07-08 11:21:00,7.00589990615845,111,0.0819000005722046,0
2017-07-08 11:22:00,7.00589990615845,124,0.091499999165535,0
2017-07-08 11:23:00,5.51980018615723,19,0.0140000004321337,0
2017-07-08 11:24:00,6.58129978179932,109,0.0803999975323677,0
2017-07-08 11:25:00,7.21820020675659,126,0.0929000005125999,1
2017-07-08 11:26:00,6.79360008239746,120,0.0885000005364418,0
2017-07-08 11:27:00,7.53665018081665,126,0.0929000005125999,0
2017-07-08 11:28:00,6.79360008239746,112,0.150700002908707,0
2017-07-08 11:29:00,6.79360008239746,122,0.0900000035762787,0
2017-07-08 11:30:00,6.79360008239746,122,0.0900000035762787,0
2017-07-08 11:31:00,5.73210000991821,82,0.0604999996721745,0
2017-07-08 11:32:00,5.51980018615723,73,0.0538000017404556,0
2017-07-08 11:33:00,5.9443998336792,90,0.0663999989628792,0
2017-07-08 11:34:00,3.82139992713928,32,0.0236000008881092,0
2017-07-08 11:35:00,3.6091001033783,40,0.0295000001788139,0
2017-07-08 11:36:00,6.79360008239746,121,0.089199997484684,0
2017-07-08 11:37:00,6.15670013427734,104,0.0767000019550323,0
2017-07-08 11:38:00,6.58129978179932,114,0.0841000005602837,0
2017-07-08 11:39:00,5.30749988555908,70,0.0516000017523766,0
2017-07-08 11:40:00,6.15670013427734,88,0.0649000033736229,0
2017-07-08 11:41:00,5.73210000991821,89,0.0656000003218651,0
2017-07-08 11:42:00,6.36899995803833,106,0.0781999975442886,0
2017-07-08 11:43:00,6.58129978179932,124,0.091499999165535,0
2017-07-08 11:44:00,6.58129978179932,125,0.0922000035643578,0
2017-07-08 11:45:00,6.58129978179932,127,0.093699999153614,0
2017-07-08 11:46:00,6.58129978179932,115,0.0847999975085258,0
2017-07-08 11:47:00,5.51980018615723,15,0.0109999999403954,0
2017-07-08 11:48:00,6.58129978179932,88,0.0649000033736229,0
2017-07-08 11:49:00,6.15670013427734,65,0.0478999987244606,0
2017-07-08 11:50:00,5.9443998336792,92,0.0678000003099442,0
2017-07-08 11:51:00,5.73210000991821,108,0.0797000005841255,0
2017-07-08 11:52:00,7.21820020675659,121,0.089199997484684,0
2017-07-08 11:53:00,6.58129978179932,114,0.0841000005602837,0
2017-07-08 11:54:00,6.79360008239746,121,0.089199997484684,0
2017-07-08 11:55:00,7.43050003051758,123,0.0907000005245209,0
2017-07-08 11:56:00,7.85510015487671,122,0.0900000035762787,1
2017-07-08 11:57:00,6.79360008239746,122,0.0900000035762787,0
