,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
February,16818,17003,16589,12693,15379,12143,16516
March,40506,33414,48867,48566,29951,25123,27904
April,40056,29216,35427,34266,38786,37417,25570
May,35470,37690,41014,30850,36566,40679,35541
