,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
February,69.83585080147965,70.53429866138862,69.9335593220339,68.22842639593908,67.20983850403739,69.06445394350851,72.44689172498971
March,74.36544522194328,75.71263766447798,73.22736073575088,72.3195309256953,70.44921946740129,70.37602734364808,73.17262883235486
April,68.15592279550901,68.3372174434887,67.92394854032658,69.08765635367263,67.47628203568038,67.18455489584781,67.37305875082235
May,67.93181554412163,67.99013330738542,70.41683289114394,68.56177006849653,69.63188689609056,69.6844825928063,68.00353524568771
